"Total","Facebook Campaign Name","Campaign Id","Campaign Owner","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Revenue","Spent","Margin"
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-04",0,0,153,40,0,23,0,0,36.670365000000004,0,36.670365000000004
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-05",3614,221,257,81,21,36,0.16289592760180996,1.2432060543515653,90.21676575000001,93.58,-3.3632342499999908
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-06",5381,311,307,123,44,61,0.19614147909967847,1.3640050697084918,141.11550300000002,161.15,-20.034496999999988
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-07",4149,439,574,126,47,54,0.12300683371298406,1.366150806717155,120.18213927849996,166.78,-46.59786072150004
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-08",3686,409,536,128,43,61,0.1491442542787286,1.2435897435897436,88.27650553740001,153.02,-64.7434944626
"Total","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH","si1g9b06dv","ben","2025-10-09",1644,137,155,65,23,29,0.2116788321167883,1.1861471861471862,44.90059369869999,55.86,-10.959406301300007
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH",,,,62957,5191,5197,2499,1057,1249,0.24060874590637643,1.0568397374561447,1919.6269214294002,1257.55,662.0769214294003
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben",,62957,5191,5186,2499,1057,1249,0.24060874590637643,1.0568397374561447,1919.6269214294002,1257.55,662.0769214294003
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-02",2779,185,67,0,32,0,0,1,0,85,-85
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-03",5380,346,348,193,74,91,0.2630057803468208,1.0788048927210747,138.3115310343,99.44,38.871531034300006
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-04",5313,444,454,198,92,100,0.22522522522522523,1.0262700405640333,167.80409696939998,103.27,64.53409696939998
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-05",5562,508,648,198,84,110,0.21653543307086615,1.115299779426509,139.43865000000002,115.15,24.28865000000002
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-06",9588,741,586,425,146,171,0.23076923076923078,1.0255642314686062,260.56101132099997,168.82,91.74101132099997
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-07",8335,755,890,375,151,178,0.23576158940397351,1.1263513513513514,269.8402101693999,162.31,107.53021016939988
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-08",8920,817,816,397,175,214,0.26193390452876375,1.0392636607246883,313.3280800000001,189.25,124.07808000000011
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","si1r3n706bu","ben","2025-10-09",17080,1395,1377,713,303,385,0.27598566308243727,1.047274511006193,630.3433419353003,334.31,296.03334193530026
"Total","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH","simt3jv06u3","ben","2025-10-02",0,0,11,0,0,0,0,0,0,0,0
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben",,144687,4151,14,2514,1100,1212,0.29197783666586363,1.5553560870733674,3090.9938198628997,2651.7799999999997,439.2138198629
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-01",23994,823,0,476,217,241,0.2928311057108141,1.4203516249334043,477.31932962919973,585.47,-108.1506703708003
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-02",7271,197,1,113,57,63,0.3197969543147208,1.8046661702655746,153.4619703292,109.03,44.4319703292
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-03",7234,179,2,106,43,49,0.2737430167597765,1.7347721822541966,124.37963160560001,105.27,19.109631605600015
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-04",6438,235,0,140,53,62,0.26382978723404255,1.3791773778920309,150.93719364400002,138.37,12.567193644000014
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-05",12508,407,0,274,120,134,0.32923832923832924,1.490467111534795,363.5873872906001,259.52,104.0673872906001
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-06",19291,509,5,331,148,162,0.3182711198428291,1.6282072923700202,460.10191554419987,328.86,131.24191554419986
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-07",18929,500,4,297,136,155,0.31,1.5921439986542183,424.4341181553999,323.98,100.4541181553999
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-08",23453,598,0,331,132,137,0.22909698996655517,1.6079116961469904,349.48598033650006,377.04,-27.554019663499957
"Total","si1w7nc06fx_0918_SenInternet_FD_BH","si1w7nc06fx","ben","2025-10-09",25569,703,2,446,194,209,0.2972972972972973,1.5449546827794562,587.2862933281998,424.24,163.0462933281998
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben",,55706,5024,519,2356,991,1318,0.2623407643312102,1.3222092995656405,1281.9375960102002,1153.6599999999999,128.27759601020034
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-01",10032,646,0,338,133,181,0.2801857585139319,1.350383631713555,166.63131305820008,185.12,-18.488686941799926
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-02",7213,502,2,213,86,118,0.2350597609561753,1.2818553403234405,106.34187809939999,123.91,-17.568121900600005
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-03",7869,524,2,299,122,172,0.3282442748091603,1.3229657027572292,176.0519044440001,130.89,45.1619044440001
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-04",6088,538,3,258,106,134,0.24907063197026022,1.3191765980498376,135.49538503490007,123.03,12.465385034900066
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-05",4881,500,0,196,89,116,0.232,1.3368940016433855,117.90131122759999,104.02,13.881311227599994
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-06",3698,363,2,170,79,102,0.2809917355371901,1.3113475177304965,113.4816214447,83.04,30.44162144469999
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-07",2945,283,1,160,67,84,0.2968197879858657,1.3218132854578097,80.58432655700003,62.1,18.484326557000024
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-08",3828,423,1,206,87,116,0.27423167848699764,1.4439834024896265,94.92771475969995,88.66,6.267714759699956
"Total","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy","si21nc064e","ben","2025-10-09",9152,1245,508,516,222,295,0.23694779116465864,1.277855347668249,290.52214138470003,252.89,37.63214138470005
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben",,113625,20375,43,7357,2895,3515,0.17251533742331288,1.2211308020505325,4520.8767480391,3922,598.8767480390998
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-01",9695,1416,2,911,338,409,0.2888418079096045,1.1292952824694233,571.1663396018995,488.98,82.18633960189948
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-02",11023,1786,9,956,360,472,0.2642777155655095,1.2235542235542236,491.0496900166001,481.02,10.029690016600114
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-03",12732,2432,2,895,349,423,0.17393092105263158,1.3465891062929667,542.2981366799999,476.51,65.78813667999987
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-04",10778,2278,3,717,295,346,0.15188762071992976,1.2758049242424243,438.97843346520034,386.41,52.568433465200314
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-05",14862,3029,3,866,328,391,0.1290855067679102,1.3113915115150445,529.1971586398998,464.58,64.61715863989986
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-06",13283,2346,5,662,283,328,0.13981244671781756,1.206229567744279,455.31740639789996,373.88,81.43740639789996
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-07",13175,2127,8,791,296,367,0.17254348848142925,1.156919564453811,494.56772615579973,393.37,101.19772615579973
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-08",14844,2528,9,831,337,414,0.16376582278481014,1.1775345073774393,490.4456582389,440.1,50.3456582389
"Total","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH","si262as06nm","ben","2025-10-09",13233,2433,2,728,309,365,0.15002055076037812,1.180148042450727,507.85619884289997,417.15,90.7061988429
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj",,13428,1232,13,1046,522,690,0.560064935064935,1.1695845309642017,525.0163464592,504.88000000000005,20.136346459199956
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-01",1402,117,2,98,59,68,0.5811965811965812,1.1722408026755853,45.78895983819999,49.89,-4.101040161800007
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-02",1230,110,1,83,45,61,0.5545454545454546,1.1669829222011385,49.838089595199975,42.69,7.148089595199977
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-03",1090,96,2,93,46,60,0.625,1.199119911991199,49.005319560000004,40.3,8.705319560000007
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-04",972,104,0,102,42,78,0.75,1.1853658536585365,52.1761702907,35.87,16.306170290700003
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-05",1530,165,1,113,57,71,0.4303030303030303,1.146067415730337,58.42477684539999,56.12,2.304776845399992
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-06",1480,137,2,120,63,77,0.5620437956204379,1.1526479750778815,68.64078899999998,54.35,14.290788999999982
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-07",1716,158,2,145,62,86,0.5443037974683544,1.1626016260162602,67.7963929485,74.55,-6.753607051499998
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-08",2178,200,1,164,83,109,0.545,1.1709677419354838,70.9564032851,78.68,-7.723596714900012
"Total","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","si2m1qo06v6","tj","2025-10-09",1830,145,2,128,65,80,0.5517241379310345,1.182934712346477,62.389445096100005,72.43,-10.040554903900002
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj",,2371,136,19,80,48,55,0.40441176470588236,1.0463371579876435,42.870863455800006,44.510000000000005,-1.6391365441999994
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-01",1422,77,19,47,27,30,0.38961038961038963,1.0588235294117647,21.382797150200002,27.41,-6.027202849799998
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-02",949,59,0,33,21,25,0.423728813559322,1.028169014084507,21.4880663056,17.1,4.388066305599999
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","si2tdt06ve","tj","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB",,0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH","si2z1106g1","AnastasiaFB","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
