"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","Anastasia","siibya06sq","SenInternet","siibya06sq_0421_SenInternet_FB_TriviaLibrary_RSOC_AU",0,0,0,0,0,0,0,0,0,0,0
"Total","Anastasia","sib9b206lt","Aviation","sib9b206lt_0912_Aviation_FB_TriviaLibrary_RSOC_AU",0,0,0,0,0,0,0,0,0,0,0
"Total","Anastasia","sikj1gd06xv","RoofRepairGrants","sikj1gd06xv_0918_RoofRepairGrants_FB_FoundDelights_RSOC_AU",1258,33,2,9,4,4,0.12121212121212122,1.2876151484135108,17.04,8.467587671,-8.572412328999999
"Total","Anastasia","sibs2ec06jj","PlumbingUS","sibs2ec06jj_1007_Plumbing_FB_KnowlWarehouse_RSOC_AU",258,18,42,18,4,4,0.2222222222222222,1.131578947368421,7.96,5.105886,-2.854114
"Total","Anastasia","siompx068k","RoofRepairGrants","siompx068k_0924_RoofRepairGrants_FB_FoundDelights_RSOC_AU_2",5874,108,99,83,30,35,0.32407407407407407,1.8547521313545943,80.74,98.29507366540001,17.555073665400016
"Total","Anastasia","sive28p060q","RoofRepairGrants","sive28p060q_0918_RoofRepairGrants_FB_KnowlWarehouse_RSOC_AU",1051,89,14,74,27,37,0.4157303370786517,1.3720626631853785,38.41,26.7696842785,-11.640315721499995
"Total","Anastasia","sicj4jf06jj","BotoxEn","sicj4jf06jj_0926_BotoxEN_FB_HB_HB1_RSOC_AU",457,35,37,19,11,15,0.42857142857142855,1.1200980392156863,23.01,22.395450847,-0.6145491530000022
"Total","Anastasia","sifjk306at","BotoxEn","sifjk306at_0926_BotoxEN_FB_Knowlwarehouse_RSOC_AU",393,33,45,39,13,17,0.5151515151515151,1.3505154639175259,28.07,36.9861,8.9161
"Total","mike",,,,5153,231,237,160,72,91,0.3939393939393939,1.065990897807199,188.57,173.95017941620003,-14.619820583799964
"Total","mike","sia51td06il","TruckDriverJobs","sia51td06il_PickupTruckJob_0925_Facebook_KnowledgeWarehouse_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sipo3106ft","PrimaryCareDoctors","sipo3106ft_PrimaryCareDoctors_Facebook_RSOC_Mike",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sitw2cc06ug","SenInternet","sitw2cc06ug_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si4d14l06uh","DiabetesStudy","si4d14l06uh_1001_DiabetesStudy_KnowledgeWarehouse_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","siy52dl065d","SenInternet","siy52dl065d_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sift45806xu","SenInternet","sift45806xu_0924_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sivma6065u","CruiseVacationPackages","sivma6065u_CruiseVacationPackages_0925_Facebook_KnowledgeWarehouse_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sil710006uw","PrimaryCareDoctors","sil710006uw_PrimaryCareDoctors_Facebook_RSOC_Mike",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sibw2ac06dt","SenInternet","sibw2ac06dt_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sih2tj06yh","PrimaryCareDoctors","sih2tj06yh_PrimaryCareDoctors_Facebook_RSOC_Mike",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","siik4xl06jd","TruckDriverJobs","siik4xl06jd_PickupTruckJob_0923_Facebook_KnowledgeWarehouse_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sipk2qb06my","TruckDriverJobs","sipk2qb06my_PickupTruckJob_0925_Facebook_KnowledgeWarehouse_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si8v2ef06ky","SenInternet","si8v2ef06ky_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sish1br06n1","DiabetesStudy","sish1br06n1_1001_DiabetesStudy_KnowledgeWarehouse_Android_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si9g2ib0609","SenInternet","si9g2ib0609_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sixo2n7069n","SenInternet","sixo2n7069n_0926_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si5z3z006as","SenInternet","si5z3z006as_0924_SenInternet_DESKTOP_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si311p506k0","PrimaryCareDoctors","si311p506k0_PrimaryCareDoctors_Facebook_RSOC_Mike",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sid5ph06et","PrimaryCareDoctors","sid5ph06et_PrimaryCareDoctors_Facebook_RSOC_Mike",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","siur4w606sd","TreeRemoval","siur4w606sd_TreeRemoval_0923_FB_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","sisu21z06lb","TreeRemoval","sisu21z06lb_TreeRemoval_0925_FB_MIKE",0,0,0,0,0,0,0,0,0,0,0
"Total","mike","si4y3i5060p","DiabetesStudy","si4y3i5060p_1001_DiabetesStudy_KnowledgeWarehouse_MIKE",669,48,55,29,10,12,0.25,1.0985221674876848,30.87,13.671192278500001,-17.1988077215
"Total","mike","sid42fo068c","SenInternet","sid42fo068c_0926_SenInternet_DESKTOP_MIKE_1",2878,98,85,70,34,40,0.40816326530612246,1.0397398843930636,97.57,97.0910577068,-0.47894229319999226
"Total","mike","sia345067z","DiabetesStudy","sia345067z_0925_DiabetesStudy_KnowledgeWarehouse_MIKE",778,53,69,37,14,22,0.41509433962264153,1.1646706586826348,29.76,25.019610278500004,-4.740389721499998
"Total","mike","si8v2h006i1","SenInternet","si8v2h006i1_0926_SenInternet_DESKTOP_MIKE_2",828,32,28,24,14,17,0.53125,1.049429657794677,30.37,38.1683191524,7.798319152400001
