"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ",,1892,69,61,13,6,6,0.08695652173913043,1.1275327771156138,38.25,8.308341,-29.941659
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-01",780,26,24,3,3,3,0.11538461538461539,1.1048158640226629,13.2,4.3661639999999995,-8.833836
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-02",661,23,16,9,2,2,0.08695652173913043,1.1455805892547661,15.03,3.473085,-11.556915
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-03",451,20,21,1,1,1,0.05,1.1417721518987343,10.02,0.469092,-9.550908
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ",,32758,3661,52,2981,1170,1449,0.39579349904397704,1.2240947647696274,874.81,1175.01536911181,300.2053691118101
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-01",4489,472,11,367,162,200,0.423728813559322,1.2322261872083449,118.87,92.71956260280005,-26.15043739719995
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-02",4023,480,11,368,154,183,0.38125,1.298160696999032,106.16,121.69132438499994,15.531324384999948
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-03",4144,463,7,411,152,187,0.4038876889848812,1.2022048157818392,115.65,193.38926882799998,77.73926882799998
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-04",4622,531,6,466,183,249,0.4689265536723164,1.28353235212441,119.64,239.29460078679992,119.65460078679992
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-05",6195,711,9,567,230,283,0.3980309423347398,1.2286790955969853,165.07,239.25316400871006,74.18316400871007
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-06",4438,483,6,392,156,177,0.36645962732919257,1.1825206501465495,117.25,150.57778336919998,33.32778336919998
"Total","tj","si79mr0634","SeniorGroceryAssistance","si79mr0634_SeniorGroceryAssistance_0825_Facebook_KnowledgeWarehouse_TJ","2025-10-07",4847,521,2,410,133,170,0.32629558541266795,1.1606800766283525,132.17,138.0896651313,5.9196651313000075
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ",,7173,784,648,545,211,269,0.34311224489795916,1.2745202558635393,128.67,92.37509295290998,-36.29490704709001
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-01",1411,136,115,100,44,57,0.41911764705882354,1.30527289546716,23.36,18.1358360882,-5.224163911799998
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1664,180,129,116,42,54,0.3,1.4161702127659574,22.88,17.717351392799998,-5.162648607200001
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-03",1281,133,116,81,27,33,0.24812030075187969,1.3084780388151174,21.07,9.102189,-11.967811000000001
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-04",729,76,69,59,19,24,0.3157894736842105,1.2049586776859504,13.59,11.110363833300001,-2.479636166699999
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-05",800,83,76,61,25,32,0.3855421686746988,1.228878648233487,17.83,11.71246851361,-6.117531486389998
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-06",624,92,78,67,30,38,0.41304347826086957,1.0966608084358525,15.35,14.601616125000003,-0.7483838749999965
"Total","tj","si7n3ar063c","SeniorMealDelivery","si7n3ar063c_SeniorMealDelivery_0929_Facebook_KnowledgeWarehouse_TJ","2025-10-07",664,84,65,61,24,31,0.36904761904761907,1.1690140845070423,14.59,9.995268,-4.5947320000000005
"Total","tj","si7t1n0665","BalconySolarPanels","si7t1n0665_BalconySolarPanels_US_0601_Facebook_TJ","2025-10-03",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ",,6,1,20,0,0,0,0,1,0.48,0,-0.48
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ","2025-10-07",6,1,20,0,0,0,0,1,0.48,0,-0.48
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ",,14335,1621,31,1244,462,577,0.35595311536088836,1.2337550563731818,617.01,766.8175274677001,149.80752746770008
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-01",2004,224,14,220,67,80,0.35714285714285715,1.1872037914691944,101,104.53534800000001,3.5353480000000133
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-02",1845,225,8,163,60,80,0.35555555555555557,1.2424242424242424,78.06,102.6518154811,24.5918154811
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-03",2093,207,1,142,56,64,0.30917874396135264,1.2348082595870207,82.13,79.99606295999999,-2.1339370400000064
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-04",1636,186,1,118,53,61,0.3279569892473118,1.1669044222539229,72.54,78.1965804535,5.656580453499998
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-05",2344,310,5,213,79,98,0.3161290322580645,1.202051282051282,100.87,121.97456307259998,21.104563072599973
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-06",2309,226,1,194,72,99,0.43805309734513276,1.3495032144944477,91.87,131.731417108,39.86141710799998
"Total","tj","si8xed06p3","DentalImplantClinicalTrials","si8xed06p3_0828_DentalImplantClinicalTrials_KnowledgeWarehouse_TJ","2025-10-07",2104,243,1,194,75,95,0.39094650205761317,1.2464454976303319,90.54,147.73174039250006,57.19174039250005
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ",,6013,522,507,388,164,206,0.3946360153256705,1.111254851228978,186.99,183.27806281940002,-3.711937180599989
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-03",116,11,48,3,2,3,0.2727272727272727,1.0357142857142858,4.8,2.670216,-2.129784
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-04",730,62,66,46,28,32,0.5161290322580645,1.1442006269592477,17.81,26.449571999999996,8.639571999999998
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-05",948,71,67,67,22,26,0.36619718309859156,1.1353293413173653,23.98,39.421769999999995,15.441769999999995
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-06",1384,115,104,93,38,54,0.46956521739130436,1.0712074303405572,40.38,62.34306970590001,21.963069705900004
"Total","tj","si8y1c106g0","MemoryLossTrials","si8y1c106g0_1003_MemoryLossTrials_KnowledgeWarehouse_TJ","2025-10-07",2835,263,222,179,74,91,0.34600760456273766,1.1187845303867403,100.02,52.39343511350001,-47.626564886499985
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ",,39504,4085,130,2032,1225,1510,0.36964504283965727,1.042486937246002,845.33,1134.6099497941996,289.2799497941995
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-01",4116,385,14,184,115,150,0.38961038961038963,1.0420253164556963,78.05,149.83553767639998,71.78553767639998
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-02",4147,445,20,204,124,157,0.35280898876404493,1.0464294726217511,76,113.16550959520005,37.16550959520005
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-03",3938,464,26,200,125,150,0.3232758620689655,1.023654795944892,77.03,152.03087054799997,75.00087054799997
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-04",5768,605,18,307,188,236,0.39008264462809916,1.0669626341102478,123.23,163.76627828680003,40.53627828680003
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-05",8804,908,16,438,260,326,0.3590308370044053,1.0427573137510364,184.96,212.32959153679982,27.369591536799817
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-06",6679,629,17,333,191,223,0.35453100158982515,1.0155085905428007,147.69,137.0992864229999,-10.590713577000088
"Total","tj","si8yo506lk","MississippiRiverCruise","si8yo506lk_MississippiRiverCruise_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-07",6052,649,19,366,222,268,0.41294298921417566,1.0602662929222144,158.37,206.38287572799987,48.01287572799987
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ",,1607,192,9,126,65,83,0.4322916666666667,1.0741978609625669,69.95,69.8941685516,-0.05583144839999932
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-01",281,40,0,22,10,12,0.3,1.0891472868217054,12.8,13.367485838199999,0.5674858381999979
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-02",236,36,2,34,13,15,0.4166666666666667,1.0776255707762556,9.73,14.911712999999999,5.1817129999999985
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-03",182,15,3,14,9,16,1.0666666666666667,1.0769230769230769,7.67,7.198758000000001,-0.4712419999999993
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-04",150,21,0,15,8,9,0.42857142857142855,1.079136690647482,6.58,11.491460290700001,4.911460290700001
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-05",288,37,4,24,16,19,0.5135135135135135,1.054945054945055,13.03,13.8225624227,0.7925624227000014
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-06",252,24,0,8,5,5,0.20833333333333334,1.045643153526971,10.52,5.602041,-4.917959
"Total","tj","si9g1mi069y","MediterraneanCruise","si9g1mi069y_MediterraneanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-07",218,19,0,9,4,7,0.3684210526315789,1.1065989847715736,9.62,3.500148,-6.119852
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si9o1pb0623","SmokingClinicalTrials","si9o1pb0623_SmokingClinicalTrials_Facebook_RSOC_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ",,0,0,2,3,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-03",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-04",0,0,1,3,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ",,131,26,43,20,9,11,0.4230769230769231,1.0155038759689923,3.11,2.8730552785,-0.2369447215
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia81906qk","Stroke","sia81906qk_1006_Stroke_KnowledgeWarehouse_TJ","2025-10-07",131,26,43,20,9,11,0.4230769230769231,1.0155038759689923,3.11,2.8730552785,-0.2369447215
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ",,1437,55,219,28,9,13,0.23636363636363636,1.1288295365278869,34.26,30.85182,-3.408179999999998
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-06",217,11,185,6,2,3,0.2727272727272727,1.0333333333333334,5.11,10.256877,5.146876999999999
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ","2025-10-07",1220,44,34,22,7,10,0.22727272727272727,1.1476952022577611,29.15,20.594943,-8.555056999999998
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ",,33003,2996,66,1603,946,1147,0.3828437917222964,1.0448616475653771,691.02,845.6758427800003,154.65584278000028
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-01",4332,416,15,240,135,166,0.39903846153846156,1.0319199618866126,84.07,148.3724995146,64.30249951460002
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-02",3600,344,11,209,114,135,0.39244186046511625,1.0495626822157433,70.24,127.77355139280003,57.533551392800035
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-03",3328,323,6,145,89,108,0.33436532507739936,1.0612244897959184,65.63,93.47271528000002,27.84271528000002
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-04",4494,387,6,208,128,163,0.42118863049095606,1.030261348005502,98.12,110.12707429100003,12.007074291000023
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-05",6662,568,5,310,189,232,0.4084507042253521,1.0489686663517557,145.34,140.17785969080006,-5.162140309199941
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-06",5906,530,12,280,154,172,0.32452830188679244,1.0622302158273382,116.86,106.87968505380002,-9.980314946199982
"Total","tj","sibr2mj06nk","MississippiRiverCruise","sibr2mj06nk_MississippiRiverCruise_0827_Facebook_KnowledgeWarehouse_TJ","2025-10-07",4681,428,11,211,137,171,0.39953271028037385,1.0290173664541657,110.76,118.87245755700002,8.112457557000013
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ",,587,44,93,30,19,23,0.5227272727272727,1.087037037037037,17.56,24.888938999999997,7.328938999999998
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-06",27,2,57,2,0,0,0,1,0.45,0,-0.45
"Total","tj","sibww306c8","JeepGrandCherokeeSUVs","sibww306c8_1006_JeepGrandCherokeeSUVs_TJ","2025-10-07",560,42,36,28,19,23,0.5476190476190477,1.0916179337231968,17.11,24.888938999999997,7.778938999999998
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ",,19308,961,19,529,179,212,0.2206035379812695,1.2281661471916545,437.96,595.5700611402799,157.61006114027992
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-01",2611,108,8,95,22,23,0.21296296296296297,1.2874753451676528,60.06,78.4827,18.422699999999992
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-02",2164,99,1,64,23,23,0.23232323232323232,1.2062430323299889,50.91,55.010057999999994,4.100057999999997
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-03",2179,114,4,53,22,27,0.23684210526315788,1.2262239729881823,48.57,86.1930775714,37.623077571399996
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-04",1868,94,0,49,19,26,0.2765957446808511,1.2137751786874593,45.75,81.161937,35.411936999999995
