ad_archive_id,page_id,page_name,is_active,start_date,end_date,publisher_platform,total_active_time,categories,link_url,media_type,hook,ad_copy,extracted_keywords,param_keys,pixel_ids,widget_phrases,widget_forcekey_matches,competitor_id,forcekeys,forcekeyA,forcekeyB,forcekeyC,forcekeyD,forcekeyE
1080796146926465,100143189842487,Everyday Homes,1,2025-07-27T07:00:00Z,2025-10-17T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://budgetdetails.com/old-pennies-could-be-worth-thousands-heres-how-to-tell-before-they-disappear-forever-1749624996?utm_campaign=bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p&utm_source=facebook&utm_term=tg14aprilsheet_testvid&utm_content=rarecoins&utm_medium=hm&l=g,video,Old Pennies Could Be Worth Thousands 🧠 Learn how to spot valuable coins before they vanish from circulation 👀 budgetdetails.,"Old Pennies Could Be Worth Thousands 🧠 
 Learn how to spot valuable coins before they vanish from circulation 👀 
 budgetdetails.com",tg14aprilsheet_testvid|bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,,bHx1dG1fY2Ft,,,,,,
1794322451461984,100143189842487,Everyday Homes,1,2025-07-27T07:00:00Z,2025-10-17T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://budgetdetails.com/old-pennies-could-be-worth-thousands-heres-how-to-tell-before-they-disappear-forever-1749624996?utm_campaign=bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p&utm_source=facebook&utm_term=tg14aprilsheet_testvid&utm_content=rarecoins&utm_medium=hm&l=g,image,Old Pennies Could Be Worth Thousands 🧠 Learn how to spot valuable coins before they vanish from circulation 👀 budgetdetails.,"Old Pennies Could Be Worth Thousands 🧠 
 Learn how to spot valuable coins before they vanish from circulation 👀 
 budgetdetails.com",tg14aprilsheet_testvid|bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,,bHx1dG1fY2Ft,,,,,,
1651868462155247,100143189842487,Everyday Homes,1,2025-07-27T07:00:00Z,2025-10-15T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://budgetdetails.com/old-pennies-could-be-worth-thousands-heres-how-to-tell-before-they-disappear-forever-1749624996?utm_campaign=bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p&utm_source=facebook&utm_term=tg14aprilsheet_testvid&utm_content=rarecoins&utm_medium=hm&l=g,image,Old Pennies Could Be Worth Thousands 🧠 Learn how to spot valuable coins before they vanish from circulation 👀 budgetdetails.,"Old Pennies Could Be Worth Thousands 🧠 
 Learn how to spot valuable coins before they vanish from circulation 👀 
 budgetdetails.com",tg14aprilsheet_testvid|bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,,bHx1dG1fY2Ft,,,,,,
606354925853167,100143189842487,Everyday Homes,1,2025-07-27T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://budgetdetails.com/old-pennies-could-be-worth-thousands-heres-how-to-tell-before-they-disappear-forever-1749624996?utm_campaign=bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p&utm_source=facebook&utm_term=tg14aprilsheet_testvid&utm_content=rarecoins&utm_medium=hm&l=g,video,Old Pennies Could Be Worth Thousands 🧠 Learn how to spot valuable coins before they vanish from circulation 👀 budgetdetails.,"Old Pennies Could Be Worth Thousands 🧠 
 Learn how to spot valuable coins before they vanish from circulation 👀 
 budgetdetails.com",tg14aprilsheet_testvid|bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,,bHx1dG1fY2Ft,,,,,,
1304477977866617,100143189842487,Everyday Homes,1,2025-07-27T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://budgetdetails.com/old-pennies-could-be-worth-thousands-heres-how-to-tell-before-they-disappear-forever-1749624996?utm_campaign=bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p&utm_source=facebook&utm_term=tg14aprilsheet_testvid&utm_content=rarecoins&utm_medium=hm&l=g,image,Old Pennies Could Be Worth Thousands 🧠 Learn how to spot valuable coins before they vanish from circulation 👀 budgetdetails.,"Old Pennies Could Be Worth Thousands 🧠 
 Learn how to spot valuable coins before they vanish from circulation 👀 
 budgetdetails.com",tg14aprilsheet_testvid|bu-rarecoins-tg14aprilsheet_testvid-fb-us-hm-0727-GE02-p,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,,bHx1dG1fY2Ft,,,,,,
1494852841729734,100441882140082,Silverslist.com,1,2025-10-09T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,DENTAL_IMPLANTS,https://silverslist.com/dental-implants-trials,video,How to Get Dental Implants This is how I was able to get dental implants without having to spend thousands of dollars⬇️ **Not all qualify for this program.,"How to Get Dental Implants 
 This is how I was able to get dental implants without having to spend thousands of dollars⬇️

**Not all qualify for this program. Eligibility requirements apply. Please visit the article below for more details** 
 silverslist.com",,,,,,c2lsdmVyc2xp,,,,,,
1878643676022152,100441882140082,Silverslist.com,1,2025-10-09T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,DENTAL_IMPLANTS,https://silverslist.com/dental-implants-trials,video,How to Get Dental Implants This is how I was able to get dental implants without having to spend thousands of dollars⬇️ **Not all qualify for this program.,"How to Get Dental Implants 
 This is how I was able to get dental implants without having to spend thousands of dollars⬇️

**Not all qualify for this program. Eligibility requirements apply. Please visit the article below for more details** 
 silverslist.com",,,,,,c2lsdmVyc2xp,,,,,,
1685997985404035,100441882140082,Silverslist.com,1,2025-10-09T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,DENTAL_IMPLANTS,https://silverslist.com/dental-implants-trials,video,How to Get Dental Implants This is how I was able to get dental implants without having to spend thousands of dollars⬇️ **Not all qualify for this program.,"How to Get Dental Implants 
 This is how I was able to get dental implants without having to spend thousands of dollars⬇️

**Not all qualify for this program. Eligibility requirements apply. Please visit the article below for more details** 
 silverslist.com",,,,,,c2lsdmVyc2xp,,,,,,
1554295172235570,100441882140082,Silverslist.com,1,2025-10-10T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,DENTAL_IMPLANTS,https://silverslist.com/dental-implants-trials,video,How to Get Dental Implants This is how I was able to get dental implants without having to spend thousands of dollars⬇️ **Not all qualify for this program.,"How to Get Dental Implants 
 This is how I was able to get dental implants without having to spend thousands of dollars⬇️

**Not all qualify for this program. Eligibility requirements apply. Please visit the article below for more details** 
 silverslist.com",,,,,,c2lsdmVyc2xp,,,,,,
1971708890257857,100441882140082,Silverslist.com,1,2025-10-09T07:00:00Z,2025-10-21T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,DENTAL_IMPLANTS,https://silverslist.com/dental-implants-trials,video,How to Get Dental Implants This is how I was able to get dental implants without having to spend thousands of dollars⬇️ **Not all qualify for this program.,"How to Get Dental Implants 
 This is how I was able to get dental implants without having to spend thousands of dollars⬇️

**Not all qualify for this program. Eligibility requirements apply. Please visit the article below for more details** 
 silverslist.com",,,,,,c2lsdmVyc2xp,,,,,,
