competitor_id,param_keys,ad_count
YWRfaWR8Y2xp,ad_id|clickid|fbclick|fbclid|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,21
YWRfaWR8ZmJj,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,281
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,192
" down from $1100! 
 nextanswers.pro""", rejuvenated skin with laser treatments. Now only $99,39
" smooth price—get full Botox for just $149! See local doctors offering this limited-time deal. 💆‍♀️ 
 nextanswers.pro"""," Really! 
 Smooth lines",4
"000 
 ¿Una GMC Sierra 1500 por menos de $10","""GMC Sierra 1500 Desde Menos de $10",8
bmV4dGFuc3dl,,14
