as_of_date,business_manager_name,business_manager_id,ad_account_name,ad_account_id,data_stage,reason_code_normalized,reason_family,total_rejections,distinct_ads_affected,repeat_reason_rejections,repeat_rate_percent
2026-02-25,ALL,,ALL,,Creative Review,DECEPTIVE_LINK_SPAM,Spam / Deceptive Practices,12,12,12,100.0
2026-02-25,ALL,,ALL,,Creative Review,DISCRIMINATORY_PRACTICES_FIN_SERVICES,Discriminatory Practices,4,2,4,100.0
2026-02-25,ALL,,ALL,,Creative Review,MISLEADING_JOB_OPPORTUNITY,"Fraud, Scams and Deceptive Practices",3,3,3,100.0
2026-02-25,ALL,,ALL,,Creative Review,MISLEADING_BUSINESS_PRACTICES,Unacceptable Business Practices,2,1,2,100.0
2026-02-25,ALL,,ALL,,Creative Review,HUMAN_EXPLOITATION,Sensitive Content,1,1,0,0.0
2026-02-25,ALL,,ALL,,Creative Review,POLICY_NONCOMPLIANCE_GENERAL,General Policy Non-Compliance,1,1,0,0.0
